class,tp,fp,fn,precision,recall,f1_score,ap
person,8828,62183,4643,0.12431876751489206,0.655333679756514,0.2089912644113539,0.44981422884359173
rider,153,1637,176,0.08547486033519552,0.46504559270516715,0.14440773949976402,0.31866049732017665
car,88884,329224,15282,0.21258622174175093,0.8532918610679109,0.34037306088375063,0.735952267217524
bus,535,10452,227,0.04869391098571039,0.7020997375328084,0.09107158056004766,0.5346738895784043
truck,2826,33649,574,0.07747772446881426,0.8311764705882353,0.14174294670846393,0.5541625409365243
bike,572,3580,447,0.13776493256262043,0.5613346418056918,0.22123380390640107,0.3305818287917981
motor,83,2552,130,0.03149905123339659,0.38967136150234744,0.05828651685393259,0.08836925151973413
traffic light,19762,108189,6835,0.15444975029503483,0.743016129638681,0.25573931723477494,0.511508391491182
traffic sign,27789,155225,7770,0.1518408427770553,0.7814899181641779,0.2542766032401074,0.5752465519404194
train,0,0,10,0.0,0.0,0.0,0.0
